date,item_name,quantity,revenue
2025-08-28,Soda,170,425.00
2025-08-29,Cheeseburger,163,1548.50
2025-08-29,Chicken Sandwich,100,1000.00
2025-08-29,Veggie Burger,26,234.00
2025-08-29,Fries,266,1064.00
2025-08-29,Wings,118,1298.00
2025-08-29,Caesar Salad,37,314.50
2025-08-29,Milkshake,75,412.50
2025-08-29,Soda,275,687.50
2025-08-30,Cheeseburger,159,1510.50
2025-08-30,Chicken Sandwich,110,1100.00
2025-08-30,Veggie Burger,32,288.00
2025-08-30,Fries,221,884.00
2025-08-30,Wings,101,1111.00
2025-08-30,Caesar Salad,44,374.00
2025-08-30,Milkshake,84,462.00
2025-08-30,Soda,241,602.50
2025-08-31,Cheeseburger,127,1206.50
2025-08-31,Chicken Sandwich,82,820.00
2025-08-31,Veggie Burger,18,162.00
2025-08-31,Fries,183,732.00
2025-08-31,Wings,91,1001.00
2025-08-31,Caesar Salad,26,221.00
2025-08-31,Milkshake,63,346.50
2025-08-31,Soda,189,472.50
2025-09-01,Cheeseburger,56,532.00
2025-09-01,Chicken Sandwich,45,450.00
2025-09-01,Veggie Burger,15,135.00
2025-09-01,Fries,93,372.00
2025-09-01,Wings,48,528.00
2025-09-01,Caesar Salad,26,221.00
2025-09-01,Milkshake,28,154.00
2025-09-01,Soda,120,300.00
2025-09-02,Cheeseburger,65,617.50
2025-09-02,Chicken Sandwich,57,570.00
2025-09-02,Veggie Burger,11,99.00
2025-09-02,Fries,115,460.00
2025-09-02,Wings,47,517.00
2025-09-02,Caesar Salad,24,204.00
2025-09-02,Milkshake,40,220.00
2025-09-02,Soda,122,305.00
2025-09-03,Cheeseburger,88,836.00
2025-09-03,Chicken Sandwich,45,450.00
2025-09-03,Veggie Burger,16,144.00
2025-09-03,Fries,106,424.00
2025-09-03,Wings,48,528.00
2025-09-03,Caesar Salad,26,221.00
2025-09-03,Milkshake,33,181.50
2025-09-03,Soda,133,332.50
2025-09-04,Cheeseburger,57,541.50
2025-09-04,Chicken Sandwich,65,650.00
2025-09-04,Veggie Burger,17,153.00
2025-09-04,Fries,151,604.00
2025-09-04,Wings,51,561.00
2025-09-04,Caesar Salad,30,255.00
2025-09-04,Milkshake,53,291.50
2025-09-04,Soda,129,322.50
2025-09-05,Cheeseburger,106,1007.00
2025-09-05,Chicken Sandwich,80,800.00
2025-09-05,Veggie Burger,25,225.00
2025-09-05,Fries,210,840.00
2025-09-05,Wings,121,1331.00
2025-09-05,Caesar Salad,34,289.00
2025-09-05,Milkshake,54,297.00
2025-09-05,Soda,203,507.50
2025-09-06,Cheeseburger,166,1577.00
2025-09-06,Chicken Sandwich,100,1000.00
2025-09-06,Veggie Burger,20,180.00
2025-09-06,Fries,215,860.00
2025-09-06,Wings,136,1496.00
2025-09-06,Caesar Salad,49,416.50
2025-09-06,Milkshake,80,440.00
2025-09-06,Soda,247,617.50
2025-09-07,Cheeseburger,90,855.00
2025-09-07,Chicken Sandwich,63,630.00
2025-09-07,Veggie Burger,19,171.00
2025-09-07,Fries,168,672.00
2025-09-07,Wings,92,1012.00
2025-09-07,Caesar Salad,27,229.50
2025-09-07,Milkshake,47,258.50
2025-09-07,Soda,158,395.00
2025-09-08,Cheeseburger,53,503.50
2025-09-08,Chicken Sandwich,46,460.00
2025-09-08,Veggie Burger,10,90.00
2025-09-08,Fries,96,384.00
2025-09-08,Wings,49,539.00
2025-09-08,Caesar Salad,27,229.50
2025-09-08,Milkshake,31,170.50
2025-09-08,Soda,129,322.50
2025-09-09,Cheeseburger,62,589.00
2025-09-09,Chicken Sandwich,41,410.00
2025-09-09,Veggie Burger,14,126.00
2025-09-09,Fries,126,504.00
2025-09-09,Wings,55,605.00
2025-09-09,Caesar Salad,26,221.00
2025-09-09,Milkshake,46,253.00
2025-09-09,Soda,122,305.00
2025-09-10,Cheeseburger,75,712.50
2025-09-10,Chicken Sandwich,49,490.00
2025-09-10,Veggie Burger,15,135.00
2025-09-10,Fries,144,576.00
2025-09-10,Wings,61,671.00
2025-09-10,Caesar Salad,22,187.00
2025-09-10,Milkshake,33,181.50
2025-09-10,Soda,137,342.50
2025-09-11,Cheeseburger,84,798.00
2025-09-11,Chicken Sandwich,44,440.00
2025-09-11,Veggie Burger,13,117.00
2025-09-11,Fries,97,388.00
2025-09-11,Wings,57,627.00
2025-09-11,Caesar Salad,29,246.50
2025-09-11,Milkshake,40,220.00
2025-09-11,Soda,131,327.50
2025-09-12,Cheeseburger,111,1054.50
2025-09-12,Chicken Sandwich,65,650.00
2025-09-12,Veggie Burger,24,216.00
2025-09-12,Fries,203,812.00
2025-09-12,Wings,118,1298.00
2025-09-12,Caesar Salad,38,323.00
2025-09-12,Milkshake,66,363.00
2025-09-12,Soda,250,625.00
2025-09-13,Cheeseburger,142,1349.00
2025-09-13,Chicken Sandwich,88,880.00
2025-09-13,Veggie Burger,24,216.00
2025-09-13,Fries,201,804.00
2025-09-13,Wings,87,957.00
2025-09-13,Caesar Salad,40,340.00
2025-09-13,Milkshake,78,429.00
2025-09-13,Soda,229,572.50
2025-09-14,Cheeseburger,97,921.50
2025-09-14,Chicken Sandwich,73,730.00
2025-09-14,Veggie Burger,23,207.00
2025-09-14,Fries,160,640.00
2025-09-14,Wings,81,891.00
2025-09-14,Caesar Salad,27,229.50
2025-09-14,Milkshake,55,302.50
2025-09-14,Soda,149,372.50
2025-09-15,Cheeseburger,61,579.50
2025-09-15,Chicken Sandwich,43,430.00
2025-09-15,Veggie Burger,17,153.00
2025-09-15,Fries,112,448.00
2025-09-15,Wings,52,572.00
2025-09-15,Caesar Salad,21,178.50
2025-09-15,Milkshake,33,181.50
2025-09-15,Soda,100,250.00
2025-09-16,Cheeseburger,68,646.00
2025-09-16,Chicken Sandwich,47,470.00
2025-09-16,Veggie Burger,13,117.00
2025-09-16,Fries,132,528.00
2025-09-16,Wings,53,583.00
2025-09-16,Caesar Salad,19,161.50
2025-09-16,Milkshake,35,192.50
2025-09-16,Soda,117,292.50
2025-09-17,Cheeseburger,70,665.00
2025-09-17,Chicken Sandwich,51,510.00
2025-09-17,Veggie Burger,16,144.00
2025-09-17,Fries,85,340.00
2025-09-17,Wings,45,495.00
2025-09-17,Caesar Salad,29,246.50
2025-09-17,Milkshake,40,220.00
2025-09-17,Soda,160,400.00
2025-09-18,Cheeseburger,94,893.00
2025-09-18,Chicken Sandwich,40,400.00
2025-09-18,Veggie Burger,19,171.00
2025-09-18,Fries,97,388.00
2025-09-18,Wings,69,759.00
2025-09-18,Caesar Salad,30,255.00
2025-09-18,Milkshake,33,181.50
2025-09-18,Soda,180,450.00
2025-09-19,Cheeseburger,141,1339.50
2025-09-19,Chicken Sandwich,67,670.00
2025-09-19,Veggie Burger,24,216.00
2025-09-19,Fries,178,712.00
2025-09-19,Wings,107,1177.00
2025-09-19,Caesar Salad,33,280.50
2025-09-19,Milkshake,79,434.50
2025-09-19,Soda,179,447.50
2025-09-20,Cheeseburger,151,1434.50
2025-09-20,Chicken Sandwich,117,1170.00
2025-09-20,Veggie Burger,24,216.00
2025-09-20,Fries,223,892.00
2025-09-20,Wings,121,1331.00
2025-09-20,Caesar Salad,36,306.00
2025-09-20,Milkshake,81,445.50
2025-09-20,Soda,243,607.50
2025-09-21,Cheeseburger,95,902.50
2025-09-21,Chicken Sandwich,85,850.00
2025-09-21,Veggie Burger,21,189.00
2025-09-21,Fries,156,624.00
2025-09-21,Wings,80,880.00
2025-09-21,Caesar Salad,26,221.00
2025-09-21,Milkshake,64,352.00
2025-09-21,Soda,173,432.50
2025-09-22,Cheeseburger,66,627.00
2025-09-22,Chicken Sandwich,42,420.00
2025-09-22,Veggie Burger,15,135.00
2025-09-22,Fries,100,400.00
2025-09-22,Wings,51,561.00
2025-09-22,Caesar Salad,23,195.50
2025-09-22,Milkshake,34,187.00
2025-09-22,Soda,126,315.00
2025-09-23,Cheeseburger,65,617.50
2025-09-23,Chicken Sandwich,41,410.00
2025-09-23,Veggie Burger,13,117.00
2025-09-23,Fries,98,392.00
2025-09-23,Wings,44,484.00
2025-09-23,Caesar Salad,27,229.50
2025-09-23,Milkshake,33,181.50
2025-09-23,Soda,147,367.50
2025-09-24,Cheeseburger,89,845.50
2025-09-24,Chicken Sandwich,48,480.00
2025-09-24,Veggie Burger,13,117.00
2025-09-24,Fries,108,432.00
2025-09-24,Wings,52,572.00
2025-09-24,Caesar Salad,22,187.00
2025-09-24,Milkshake,34,187.00
2025-09-24,Soda,136,340.00
2025-09-25,Cheeseburger,73,693.50
2025-09-25,Chicken Sandwich,49,490.00
2025-09-25,Veggie Burger,16,144.00
2025-09-25,Fries,153,612.00
2025-09-25,Wings,57,627.00
2025-09-25,Caesar Salad,26,221.00
2025-09-25,Milkshake,37,203.50
2025-09-25,Soda,163,407.50
2025-09-26,Cheeseburger,121,1149.50
2025-09-26,Chicken Sandwich,92,920.00
2025-09-26,Veggie Burger,26,234.00
2025-09-26,Fries,214,856.00
2025-09-26,Wings,124,1364.00
2025-09-26,Caesar Salad,33,280.50
2025-09-26,Milkshake,78,429.00
2025-09-26,Soda,196,490.00
2025-09-27,Cheeseburger,139,1320.50
2025-09-27,Chicken Sandwich,110,1100.00
2025-09-27,Veggie Burger,29,261.00
2025-09-27,Fries,218,872.00
2025-09-27,Wings,101,1111.00
2025-09-27,Caesar Salad,42,357.00
2025-09-27,Milkshake,70,385.00
2025-09-27,Soda,214,535.00
2025-09-28,Cheeseburger,99,940.50
2025-09-28,Chicken Sandwich,73,730.00
2025-09-28,Veggie Burger,14,126.00
2025-09-28,Fries,167,668.00
2025-09-28,Wings,89,979.00
2025-09-28,Caesar Salad,27,229.50
2025-09-28,Milkshake,63,346.50
2025-09-28,Soda,190,475.00
2025-09-29,Cheeseburger,58,551.00
2025-09-29,Chicken Sandwich,39,390.00
2025-09-29,Veggie Burger,15,135.00
2025-09-29,Fries,83,332.00
2025-09-29,Wings,45,495.00
2025-09-29,Caesar Salad,22,187.00
2025-09-29,Milkshake,31,170.50
2025-09-29,Soda,120,300.00
2025-09-30,Cheeseburger,67,636.50
2025-09-30,Chicken Sandwich,52,520.00
2025-09-30,Veggie Burger,15,135.00
2025-09-30,Fries,104,416.00
2025-09-30,Wings,42,462.00
2025-09-30,Caesar Salad,27,229.50
2025-09-30,Milkshake,35,192.50
2025-09-30,Soda,146,365.00
2025-10-01,Cheeseburger,61,579.50
2025-10-01,Chicken Sandwich,46,460.00
2025-10-01,Veggie Burger,15,135.00
2025-10-01,Fries,108,432.00
2025-10-01,Wings,50,550.00
2025-10-01,Caesar Salad,20,170.00
2025-10-01,Milkshake,37,203.50
2025-10-01,Soda,135,337.50
2025-10-02,Cheeseburger,84,798.00
2025-10-02,Chicken Sandwich,65,650.00
2025-10-02,Veggie Burger,16,144.00
2025-10-02,Fries,120,480.00
2025-10-02,Wings,56,616.00
2025-10-02,Caesar Salad,34,289.00
2025-10-02,Milkshake,29,159.50
2025-10-02,Soda,148,370.00
2025-10-03,Cheeseburger,103,978.50
2025-10-03,Chicken Sandwich,57,570.00
2025-10-03,Veggie Burger,17,153.00
2025-10-03,Fries,157,628.00
2025-10-03,Wings,115,1265.00
2025-10-03,Caesar Salad,30,255.00
2025-10-03,Milkshake,64,352.00
2025-10-03,Soda,178,445.00
2025-10-04,Cheeseburger,150,1425.00
2025-10-04,Chicken Sandwich,80,800.00
2025-10-04,Veggie Burger,29,261.00
2025-10-04,Fries,184,736.00
2025-10-04,Wings,103,1133.00
2025-10-04,Caesar Salad,38,323.00
2025-10-04,Milkshake,73,401.50
2025-10-04,Soda,270,675.00
2025-10-05,Cheeseburger,104,988.00
2025-10-05,Chicken Sandwich,58,580.00
2025-10-05,Veggie Burger,17,153.00
2025-10-05,Fries,143,572.00
2025-10-05,Wings,90,990.00
2025-10-05,Caesar Salad,29,246.50
2025-10-05,Milkshake,53,291.50
2025-10-05,Soda,187,467.50
2025-10-06,Cheeseburger,56,532.00
2025-10-06,Chicken Sandwich,40,400.00
2025-10-06,Veggie Burger,14,126.00
2025-10-06,Fries,115,460.00
2025-10-06,Wings,44,484.00
2025-10-06,Caesar Salad,21,178.50
2025-10-06,Milkshake,26,143.00
2025-10-06,Soda,121,302.50
2025-10-07,Cheeseburger,59,560.50
2025-10-07,Chicken Sandwich,45,450.00
2025-10-07,Veggie Burger,11,99.00
2025-10-07,Fries,116,464.00
2025-10-07,Wings,40,440.00
2025-10-07,Caesar Salad,22,187.00
2025-10-07,Milkshake,36,198.00
2025-10-07,Soda,100,250.00
2025-10-08,Cheeseburger,67,636.50
2025-10-08,Chicken Sandwich,47,470.00
2025-10-08,Veggie Burger,13,117.00
2025-10-08,Fries,127,508.00
2025-10-08,Wings,59,649.00
2025-10-08,Caesar Salad,19,161.50
2025-10-08,Milkshake,28,154.00
2025-10-08,Soda,138,345.00
2025-10-09,Cheeseburger,63,598.50
2025-10-09,Chicken Sandwich,49,490.00
2025-10-09,Veggie Burger,17,153.00
2025-10-09,Fries,131,524.00
2025-10-09,Wings,55,605.00
2025-10-09,Caesar Salad,28,238.00
2025-10-09,Milkshake,34,187.00
2025-10-09,Soda,162,405.00
2025-10-10,Cheeseburger,119,1130.50
2025-10-10,Chicken Sandwich,87,870.00
2025-10-10,Veggie Burger,21,189.00
2025-10-10,Fries,191,764.00
2025-10-10,Wings,100,1100.00
2025-10-10,Caesar Salad,33,280.50
2025-10-10,Milkshake,58,319.00
2025-10-10,Soda,228,570.00
2025-10-11,Cheeseburger,164,1558.00
2025-10-11,Chicken Sandwich,95,950.00
2025-10-11,Veggie Burger,27,243.00
2025-10-11,Fries,231,924.00
2025-10-11,Wings,126,1386.00
2025-10-11,Caesar Salad,39,331.50
2025-10-11,Milkshake,75,412.50
2025-10-11,Soda,255,637.50
2025-10-12,Cheeseburger,104,988.00
2025-10-12,Chicken Sandwich,60,600.00
2025-10-12,Veggie Burger,19,171.00
2025-10-12,Fries,119,476.00
2025-10-12,Wings,83,913.00
2025-10-12,Caesar Salad,29,246.50
2025-10-12,Milkshake,61,335.50
2025-10-12,Soda,173,432.50
2025-10-13,Cheeseburger,67,636.50
2025-10-13,Chicken Sandwich,41,410.00
2025-10-13,Veggie Burger,12,108.00
2025-10-13,Fries,81,324.00
2025-10-13,Wings,40,440.00
2025-10-13,Caesar Salad,19,161.50
2025-10-13,Milkshake,32,176.00
2025-10-13,Soda,109,272.50
2025-10-14,Cheeseburger,68,646.00
2025-10-14,Chicken Sandwich,44,440.00
2025-10-14,Veggie Burger,16,144.00
2025-10-14,Fries,117,468.00
2025-10-14,Wings,44,484.00
2025-10-14,Caesar Salad,23,195.50
2025-10-14,Milkshake,30,165.00
2025-10-14,Soda,96,240.00
2025-10-15,Cheeseburger,73,693.50
2025-10-15,Chicken Sandwich,53,530.00
2025-10-15,Veggie Burger,15,135.00
2025-10-15,Fries,103,412.00
2025-10-15,Wings,57,627.00
2025-10-15,Caesar Salad,18,153.00
2025-10-15,Milkshake,34,187.00
2025-10-15,Soda,129,322.50
2025-10-16,Cheeseburger,70,665.00
2025-10-16,Chicken Sandwich,60,600.00
2025-10-16,Veggie Burger,19,171.00
2025-10-16,Fries,118,472.00
2025-10-16,Wings,56,616.00
2025-10-16,Caesar Salad,27,229.50
2025-10-16,Milkshake,35,192.50
2025-10-16,Soda,119,297.50
2025-10-17,Cheeseburger,148,1406.00
2025-10-17,Chicken Sandwich,94,940.00
2025-10-17,Veggie Burger,25,225.00
2025-10-17,Fries,164,656.00
2025-10-17,Wings,128,1408.00
2025-10-17,Caesar Salad,42,357.00
2025-10-17,Milkshake,67,368.50
2025-10-17,Soda,186,465.00
2025-10-18,Cheeseburger,126,1197.00
2025-10-18,Chicken Sandwich,98,980.00
2025-10-18,Veggie Burger,23,207.00
2025-10-18,Fries,210,840.00
2025-10-18,Wings,129,1419.00
2025-10-18,Caesar Salad,31,263.50
2025-10-18,Milkshake,91,500.50
2025-10-18,Soda,276,690.00
2025-10-19,Cheeseburger,88,836.00
2025-10-19,Chicken Sandwich,57,570.00
2025-10-19,Veggie Burger,18,162.00
2025-10-19,Fries,135,540.00
2025-10-19,Wings,81,891.00
2025-10-19,Caesar Salad,19,161.50
2025-10-19,Milkshake,52,286.00
2025-10-19,Soda,207,517.50
2025-10-20,Cheeseburger,52,494.00
2025-10-20,Chicken Sandwich,40,400.00
2025-10-20,Veggie Burger,11,99.00
2025-10-20,Fries,105,420.00
2025-10-20,Wings,44,484.00
2025-10-20,Caesar Salad,28,238.00
2025-10-20,Milkshake,31,170.50
2025-10-20,Soda,108,270.00
2025-10-21,Cheeseburger,68,646.00
2025-10-21,Chicken Sandwich,41,410.00
2025-10-21,Veggie Burger,12,108.00
2025-10-21,Fries,108,432.00
2025-10-21,Wings,47,517.00
2025-10-21,Caesar Salad,24,204.00
2025-10-21,Milkshake,33,181.50
2025-10-21,Soda,113,282.50
2025-10-22,Cheeseburger,71,674.50
2025-10-22,Chicken Sandwich,56,560.00
2025-10-22,Veggie Burger,13,117.00
2025-10-22,Fries,133,532.00
2025-10-22,Wings,49,539.00
2025-10-22,Caesar Salad,23,195.50
2025-10-22,Milkshake,44,242.00
2025-10-22,Soda,129,322.50
2025-10-23,Cheeseburger,88,836.00
2025-10-23,Chicken Sandwich,57,570.00
2025-10-23,Veggie Burger,14,126.00
2025-10-23,Fries,124,496.00
2025-10-23,Wings,53,583.00
2025-10-23,Caesar Salad,24,204.00
2025-10-23,Milkshake,30,165.00
2025-10-23,Soda,143,357.50
2025-10-24,Cheeseburger,136,1292.00
2025-10-24,Chicken Sandwich,88,880.00
2025-10-24,Veggie Burger,22,198.00
2025-10-24,Fries,172,688.00
2025-10-24,Wings,91,1001.00
2025-10-24,Caesar Salad,32,272.00
2025-10-24,Milkshake,58,319.00
2025-10-24,Soda,205,512.50
2025-10-25,Cheeseburger,141,1339.50
2025-10-25,Chicken Sandwich,83,830.00
2025-10-25,Veggie Burger,25,225.00
2025-10-25,Fries,192,768.00
2025-10-25,Wings,114,1254.00
2025-10-25,Caesar Salad,40,340.00
2025-10-25,Milkshake,75,412.50
2025-10-25,Soda,246,615.00
2025-10-26,Cheeseburger,83,788.50
2025-10-26,Chicken Sandwich,65,650.00
2025-10-26,Veggie Burger,19,171.00
2025-10-26,Fries,167,668.00
2025-10-26,Wings,68,748.00
2025-10-26,Caesar Salad,29,246.50
2025-10-26,Milkshake,62,341.00
2025-10-26,Soda,167,417.50
2025-10-27,Cheeseburger,60,570.00
2025-10-27,Chicken Sandwich,44,440.00
2025-10-27,Veggie Burger,14,126.00
2025-10-27,Fries,106,424.00
2025-10-27,Wings,46,506.00
2025-10-27,Caesar Salad,23,195.50
2025-10-27,Milkshake,27,148.50
2025-10-27,Soda,111,277.50
2025-10-28,Cheeseburger,74,703.00
2025-10-28,Chicken Sandwich,43,430.00
2025-10-28,Veggie Burger,14,126.00
2025-10-28,Fries,98,392.00
2025-10-28,Wings,53,583.00
2025-10-28,Caesar Salad,22,187.00
2025-10-28,Milkshake,36,198.00
2025-10-28,Soda,107,267.50
2025-10-29,Cheeseburger,59,560.50
2025-10-29,Chicken Sandwich,48,480.00
2025-10-29,Veggie Burger,16,144.00
2025-10-29,Fries,114,456.00
2025-10-29,Wings,58,638.00
2025-10-29,Caesar Salad,24,204.00
2025-10-29,Milkshake,36,198.00
2025-10-29,Soda,114,285.00
2025-10-30,Cheeseburger,87,826.50
2025-10-30,Chicken Sandwich,56,560.00
2025-10-30,Veggie Burger,18,162.00
2025-10-30,Fries,126,504.00
2025-10-30,Wings,51,561.00
2025-10-30,Caesar Salad,27,229.50
2025-10-30,Milkshake,40,220.00
2025-10-30,Soda,141,352.50
2025-10-31,Cheeseburger,130,1235.00
2025-10-31,Chicken Sandwich,71,710.00
2025-10-31,Veggie Burger,23,207.00
2025-10-31,Fries,175,700.00
2025-10-31,Wings,90,990.00
2025-10-31,Caesar Salad,34,289.00
2025-10-31,Milkshake,52,286.00
2025-10-31,Soda,228,570.00
2025-11-01,Cheeseburger,164,1558.00
2025-11-01,Chicken Sandwich,98,980.00
2025-11-01,Veggie Burger,24,216.00
2025-11-01,Fries,198,792.00
2025-11-01,Wings,119,1309.00
2025-11-01,Caesar Salad,29,246.50
2025-11-01,Milkshake,79,434.50
2025-11-01,Soda,265,662.50
2025-11-02,Cheeseburger,105,997.50
2025-11-02,Chicken Sandwich,68,680.00
2025-11-02,Veggie Burger,20,180.00
2025-11-02,Fries,170,680.00
2025-11-02,Wings,100,1100.00
2025-11-02,Caesar Salad,30,255.00
2025-11-02,Milkshake,52,286.00
2025-11-02,Soda,170,425.00
2025-11-03,Cheeseburger,65,617.50
2025-11-03,Chicken Sandwich,52,520.00
2025-11-03,Veggie Burger,14,126.00
2025-11-03,Fries,90,360.00
2025-11-03,Wings,43,473.00
2025-11-03,Caesar Salad,18,153.00
2025-11-03,Milkshake,33,181.50
2025-11-03,Soda,100,250.00
2025-11-04,Cheeseburger,58,551.00
2025-11-04,Chicken Sandwich,35,350.00
2025-11-04,Veggie Burger,13,117.00
2025-11-04,Fries,117,468.00
2025-11-04,Wings,43,473.00
2025-11-04,Caesar Salad,20,170.00
2025-11-04,Milkshake,35,192.50
2025-11-04,Soda,122,305.00
2025-11-05,Cheeseburger,75,712.50
2025-11-05,Chicken Sandwich,54,540.00
2025-11-05,Veggie Burger,16,144.00
2025-11-05,Fries,98,392.00
2025-11-05,Wings,53,583.00
2025-11-05,Caesar Salad,28,238.00
2025-11-05,Milkshake,33,181.50
2025-11-05,Soda,111,277.50
2025-11-06,Cheeseburger,90,855.00
